vehicle_name;model_year;odometer;average_price
Honda ADV 150 CBS 2019;2019;14053;22308000
Honda ADV 150 CBS 2019;2019;13286;22308000
Honda ADV 150 CBS 2020;2020;14040;23346000
Honda ADV 160 CBS 2023;2023;5637;25116000
Honda Beat All New Beat Deluxe 2022;2022;20910;11734125
Honda Beat All New Beat Deluxe 2023;2023;15811;12772500
Honda Beat All New Beat Deluxe 2023;2023;13892;12772500
Honda Beat All New Beat Deluxe 2024;2024;9030;13270628
Honda Beat All New ESP CBS 2022;2022;24225;11319750
Honda Beat All New ESP CBS 2023;2023;9976;12679875
Honda Beat All New ESP CBS 2023;2023;7411;12679875
Honda Beat All New ESP CBS 2023;2023;18623;12289875
Honda Beat All New ESP CBS 2023;2023;8050;12679875
Honda Beat All New ESP CBS 2023;2023;16029;12289875
Honda Beat All New ESP CBS 2023;2023;8072;12679875
Honda Beat All New ESP CBS 2023;2023;23267;11899875
Honda Beat All New ESP CBS 2023;2023;13073;12289875
Honda Beat All New ESP CBS 2023;2023;32640;11412375
Honda Beat All New ESP CBS 2023;2023;6132;12679875
Honda Beat All New ESP CBS 2024;2024;12253;12840092
Honda Beat All New ESP CBS 2024;2024;13034;12840092
Honda Beat All New ESP CBS 2024;2024;10104;12840092
Honda Beat All New ESP CBS 2024;2024;3178;12840092
Honda Beat All New ESP CBS 2024;2024;8442;12840092
Honda Beat Street ESP 2022;2022;6487;12514125
Honda Beat Street ESP 2023;2023;19879;12787125
Honda CB150X STD 2023;2023;6881;19451250
Honda CBR150 The All New CBR 150R 2019;2019;25311;16428750
Honda CBR150 The All New CBR 150R 2020;2020;28722;18793125
Honda CBR150 The All New CBR 150R 2021;2021;15144;19524375
Honda CBR150 The All New CBR 150R 2021;2021;17274;19524375
Honda CBR150 The All New CBR 150R 2022;2022;12672;19865625
Honda CBR150 The All New CBR 150R 2023;2023;2070;20986875
Honda Genio CBS 2023;2023;38854;12241125
Honda Genio CBS 2024;2024;4235;12718529
Honda Genio CBS ISS 2024;2024;6500;13674375
Honda PCX 150 ABS 2020;2020;27741;23868000
Honda PCX 150 ABS 2020;2020;23112;23868000
Honda PCX 160 ABS 2021;2021;12533;25720500
Honda PCX 160 ABS 2022;2022;11425;25964250
Honda PCX 160 ABS 2023;2023;26333;26403000
Honda PCX 160 CBS 2022;2022;18509;25964250
Honda Scoopy Prestige/Stylish 2021;2021;25758;14776125
Honda Scoopy Prestige/Stylish 2022;2022;27732;15049125
Honda Scoopy Prestige/Stylish 2022;2022;17525;15439125
Honda Scoopy Prestige/Stylish 2023;2023;9114;16492125
Honda Scoopy Prestige/Stylish 2023;2023;7736;16492125
Honda Scoopy Prestige/Stylish 2024;2024;5239;16492125
Honda Scoopy Sporty/Fashion 2018;2018;15042;13898625
Honda Scoopy Sporty/Fashion 2021;2021;20324;14196000
Honda Scoopy Sporty/Fashion 2021;2021;20591;14196000
Honda Scoopy Sporty/Fashion 2023;2023;20014;14883375
Honda Scoopy Sporty/Fashion 2023;2023;1415;15663375
Honda Scoopy Sporty/Fashion 2023;2023;5468;15663375
Honda Scoopy Sporty/Fashion 2023;2023;3086;15663375
Honda Scoopy Sporty/Fashion 2023;2023;19851;15273375
Honda Scoopy Sporty/Fashion 2023;2023;15142;15273375
Honda Scoopy Sporty/Fashion 2023;2023;11301;15273375
Honda Scoopy Sporty/Fashion 2023;2023;8056;15663375
Honda Supra GTR 150 EXCLUSIVE 2019;2019;5353;11622000
Honda Vario 160 CBS 2022;2022;18475;18174000
Honda Vario 160 CBS 2022;2022;21979;17784000
Honda Vario 160 CBS 2023;2023;13346;19002750
Honda Vario 160 CBS 2024;2024;11600;19002750
Honda Vario All New 125 ESP CBS 2023;2023;6776;17320875
Honda Vario All New 125 ESP CBS 2023;2023;8942;17320875
Honda Vario All New 125 ESP CBS 2023;2023;21847;16540875
Honda Vario All New 150 EXCLUSIVE ESP 2019;2019;15225;16965000
Honda Vario All New 150 EXCLUSIVE ESP 2019;2019;15051;16965000
Honda Vario All New 150 EXCLUSIVE ESP 2021;2021;19025;19144125
Honda Vario All New 150 SPORTY ESP 2019;2019;14125;16965000
Honda Vario All New 150 SPORTY ESP 2019;2019;32710;16575000
Honda Vario All New 150 SPORTY ESP 2021;2021;25709;18339750
Kawasaki D-Tracker SE 2022;2022;12678;21766875
Kawasaki D-Tracker SE 2022;2022;5348;22156875
Kawasaki KLX 150 BF SE Extreme 2023;2023;4933;24423750
Yamaha Aerox 155 2019;2019;15500;18125250
Yamaha Aerox 155 2019;2019;14500;18125250
Yamaha Aerox 155 2020;2020;11520;18924750
Yamaha Aerox 155 2020;2020;10421;18924750
Yamaha Aerox 155 Connected 2021;2021;19523;21547500
Yamaha Aerox 155 Connected 2021;2021;19214;21547500
Yamaha Aerox 155 Connected 2022;2022;26057;21181875
Yamaha Aerox 155 Connected 2022;2022;14357;21571875
Yamaha Aerox 155 Connected 2023;2023;9852;22376250
Yamaha Aerox 155 Connected 2023;2023;20869;21596250
Yamaha Aerox 155 Connected 2023;2023;2436;22376250
Yamaha Aerox 155 Connected 2023;2023;6077;22376250
Yamaha Aerox 155 Connected 2023;2023;16819;21986250
Yamaha Aerox 155 Connected ABS 2021;2021;15215;24448125
Yamaha Aerox 155 Connected ABS 2021;2021;19783;24448125
Yamaha Aerox 155 Connected ABS 2022;2022;21435;24082500
Yamaha Aerox 155 S 2019;2019;11320;21274500
Yamaha Fazzio Lux 2023;2023;3271;16657875
Yamaha Fazzio Neo 2022;2022;12548;15604875
Yamaha Fazzio Neo 2022;2022;19661;15604875
Yamaha Fazzio Neo 2022;2022;29621;15214875
Yamaha Fazzio Neo 2023;2023;7897;16418250
Yamaha Fazzio Neo 2024;2024;12887;17058562
Yamaha Fazzio Neo 2024;2024;13382;17058562
Yamaha Gear 125 2022;2022;15930;10686000
Yamaha Gear 125 2023;2023;9426;11466000
Yamaha Gear 125 2023;2023;17367;11076000
Yamaha Gear 125 2023;2023;9318;11466000
Yamaha Gear 125 2023;2023;14609;11076000
Yamaha Gear 125 2023;2023;28618;10686000
Yamaha Gear 125 2023;2023;20864;10686000
Yamaha Gear 125 2024;2024;9593;11507964
Yamaha GRAND FILANO LUX 125 2024;2024;660;19657750
Yamaha GRAND FILANO NEO 125 2023;2023;10239;18919875
Yamaha GRAND FILANO NEO 125 2023;2023;18016;18919875
Yamaha GRAND FILANO NEO 125 2023;2023;11051;18919875
Yamaha Lexi 125 2018;2018;18504;12870000
Yamaha Lexi S 2019;2019;20616;14469000
Yamaha N Max All New 2023;2023;13822;20670000
Yamaha N Max All New 2023;2023;24478;20280000
Yamaha N Max All New Connected 2023;2023;8201;21840000
Yamaha N Max All New Connected 2023;2023;9373;21840000
Yamaha N Max All New Connected 2023;2023;6066;21840000
Yamaha N Max All New Connected 2023;2023;9818;21840000
Yamaha N Max All New Connected 2024;2024;3058;22691760
Yamaha N Max All New Connected ABS 2021;2021;17398;21840000
Yamaha N Max All New Connected ABS 2021;2021;27416;21450000
Yamaha N Max All New Connected ABS 2022;2022;27363;21840000
Yamaha N Max All New Connected ABS 2023;2023;10713;23010000
Yamaha N Max Standard 2019;2019;30763;17940000
Yamaha R15 All New R15 Connected 2022;2022;34092;21547500
Yamaha R15 All New R15 Connected 2023;2023;14586;23156250
Yamaha R15 All New R15 Connected 2023;2023;21815;22766250
Yamaha R15 New VVA 2018;2018;49817;13820625
Yamaha R15 New VVA 2019;2019;30325;14186250
Yamaha R15 New VVA 2021;2021;26220;15990000
Yamaha X Max 250 ABS 2022;2022;19882;39170625
Yamaha X Max 250 CONNECTED 2023;2023;4488;36718500
Yamaha XSR 155 2021;2021;10423;22278750
Yamaha XSR 155 2021;2021;14050;22278750
Yamaha XSR 155 2021;2021;5823;22473750
Yamaha XSR 155 2022;2022;15040;22425000
